objectid,title,name_2,description,find_address,build_name,build_name_2,room,early_date,late_date,style,identifier,still_exist2,still_exist,genre,subject,themes,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
obj_001,Sacrifice of Iphigenia,Iphigenia in Aulis,Sacrifice of Iphigenia as she is carried by Odysseus and Diomedes. Agamemnon watches from th side as the priest Calchas covers his face.,VI.8.3,House of the Tragic Poet,,3,45,79,4,MANN 9112,Yes,1,Genre,Iphigenia; Calchas; Agamemnon; Odysessus; Diomedes,Trojan War,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/a/a7/Wall_painting_-_sacrifice_of_Iphigenia_-_Pompeii_%28VI_8_5%29_-_Napoli_MAN_9112_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a7/Wall_painting_-_sacrifice_of_Iphigenia_-_Pompeii_%28VI_8_5%29_-_Napoli_MAN_9112_-_01.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a7/Wall_painting_-_sacrifice_of_Iphigenia_-_Pompeii_%28VI_8_5%29_-_Napoli_MAN_9112_-_01.jpg,,
obj_002,Hera and Zeus,Hierogamy,Marriage of a veiled Hera to a seated Zeus on Mount Ida.,VI.8.3,House of the Tragic Poet,,3,45,79,4,MANN 9559,Yes,1,Genre,Hera; Zeus; Hypnos,,Chappsnet,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/b/b3/Hierogamia_-_Fresco_of_the_divine_wedding_of_Hera_and_Zeus.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b3/Hierogamia_-_Fresco_of_the_divine_wedding_of_Hera_and_Zeus.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b3/Hierogamia_-_Fresco_of_the_divine_wedding_of_Hera_and_Zeus.jpg,,
obj_003,Briseis and Achilles,,Achilles surrendering Briseis to Agamemnon. ,VI.8.3,House of the Tragic Poet,,3,45,79,4,MANN 9105,Yes,1,Genre,Briseis; Achilles,Trojan War,Sailko,https://creativecommons.org/licenses/by-sa/3.0/,image,https://upload.wikimedia.org/wikipedia/commons/7/7f/Achille_costretto_a_cedere_briseide_a_ad_agamennone%2C_9105%2C_01.JPG,https://upload.wikimedia.org/wikipedia/commons/7/7f/Achille_costretto_a_cedere_briseide_a_ad_agamennone%2C_9105%2C_01.JPG,https://upload.wikimedia.org/wikipedia/commons/7/7f/Achille_costretto_a_cedere_briseide_a_ad_agamennone%2C_9105%2C_01.JPG,,
obj_004,Helen (and Paris?),,Helen of Sparta boards the ship to Troy.,VI.8.3,House of the Tragic Poet,,3,45,79,4,MANN 9108,Yes,1,Genre,Helen,Trojan War,,,image,https://upload.wikimedia.org/wikipedia/commons/0/02/Elena_aiutata_a_salire_sulla_nave_di_paride_verso_troia%2C_9108.JPG,https://upload.wikimedia.org/wikipedia/commons/0/02/Elena_aiutata_a_salire_sulla_nave_di_paride_verso_troia%2C_9108.JPG,https://upload.wikimedia.org/wikipedia/commons/0/02/Elena_aiutata_a_salire_sulla_nave_di_paride_verso_troia%2C_9108.JPG,,
obj_005,Alcestis and Admetus,,A messenger reads a prophecy to Admetus and Alcestis telling Admetus that he will die unless someone takes his place.,VI.8.3,House of the Tragic Poet,,8,45,79,4,MANN 9027,Yes,1,Genre,Alcestis; Admetus,,,,image,https://upload.wikimedia.org/wikipedia/commons/d/db/Affreschi_romani_-_pompei_-_alcesti_e_admeto2.jpg,https://upload.wikimedia.org/wikipedia/commons/d/db/Affreschi_romani_-_pompei_-_alcesti_e_admeto2.jpg,https://upload.wikimedia.org/wikipedia/commons/d/db/Affreschi_romani_-_pompei_-_alcesti_e_admeto2.jpg,,
obj_006,Europa on the bull,,Europa seated on the bull--actually Zeus in disguise--before she is carried off to Crete.,IX.5.18,House of Jason,House of the Fatal Loves,f,n20,n25,3,MANN 111475,Yes,1,Genre,Europa,,Marie-Lan Nguyen,Public Domain,image,https://upload.wikimedia.org/wikipedia/commons/d/d0/Rape_of_Europa_MAN_Napoli_Inv111475.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d0/Rape_of_Europa_MAN_Napoli_Inv111475.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d0/Rape_of_Europa_MAN_Napoli_Inv111475.jpg,,
obj_007,Medea,,"Medea with her children, Mermerus and Pheres (?).",IX.5.18,House of Jason,House of the Fatal Loves,e,n20,n25,3,MANN 114321,Yes,1,Genre,Medea,,Marie-Lan Nguyen,Public Domain,image,https://upload.wikimedia.org/wikipedia/commons/8/83/Medea_children_MAN_Napoli_Inv8977.jpg,https://upload.wikimedia.org/wikipedia/commons/8/83/Medea_children_MAN_Napoli_Inv8977.jpg,https://upload.wikimedia.org/wikipedia/commons/8/83/Medea_children_MAN_Napoli_Inv8977.jpg,,
obj_008,Phaedra with attendant,,Phaedra seated with an attendant reading a letter.,IX.5.18,House of Jason,House of the Fatal Loves,e,n20,n25,3,MANN 114322,Yes,1,Genre,Phaedra,,Marie-Lan Nguyen,Public Domain,image,https://upload.wikimedia.org/wikipedia/commons/7/70/Phaedra_letter_MAN_Napoli_Inv114322.jpg,https://upload.wikimedia.org/wikipedia/commons/7/70/Phaedra_letter_MAN_Napoli_Inv114322.jpg,https://upload.wikimedia.org/wikipedia/commons/7/70/Phaedra_letter_MAN_Napoli_Inv114322.jpg,,
obj_009,Paris and Helen,,"Seated Helen, with Paris standing in the doorway.",IX.5.18,House of Jason,House of the Fatal Loves,e,n20,n25,3,MANN 114320,Yes,1,Genre,Helen; Paris,Trojan War,ArchaiOptix,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/c/c1/Wall_painting_-_Paris_and_Helena_at_Sparta_-_Pompeii_%28IX_5_18-21%29_-_Napoli_MAN_114320.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c1/Wall_painting_-_Paris_and_Helena_at_Sparta_-_Pompeii_%28IX_5_18-21%29_-_Napoli_MAN_114320.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c1/Wall_painting_-_Paris_and_Helena_at_Sparta_-_Pompeii_%28IX_5_18-21%29_-_Napoli_MAN_114320.jpg,,
obj_010,Hercules and Nessus,,"Hercules, carrying his son Hyllus,  and Deianira meet the centaur Nessus at the river. ",VI.9.5,House of Centaur,Casa di A. Vettius Caprasius Felix,26,30,45,,MANN 9001,Yes,1,Genre,Hercules; Nessus; Hyllus; Deianira,,Chappsnet,https://creativecommons.org/licenses/by-sa/4.0/,image,https://upload.wikimedia.org/wikipedia/commons/a/a8/Fresco_of_Hercules_and_Deianira_meeting_the_centaur_Nessos.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a8/Fresco_of_Hercules_and_Deianira_meeting_the_centaur_Nessos.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a8/Fresco_of_Hercules_and_Deianira_meeting_the_centaur_Nessos.jpg,,
